보호자 유무 관련,
reference,지금 어머니 저희가 주민등록상으로 보면은 혼자 계신 걸로 나와 있거든요. 이제 이혼이나 사별 이런 내용으로 혼자 계시게 되신 지는 얼마나 되셨어요?
,자녀분이 두 분이 있던데 자녀분들 각각 결혼하셨어요?
,혹시 같이 살고 있는 가족들은 있으세요?
,그러면 집에서 집에 지금 경제 활동하시는 분은 안 계신가요?
,그러시면 선생님 혹시 지금 이제 거주하시면서 예를 들어서 내가 갑자기 몸이 아프거나 이럴 때 도움을 청할 수 있는 가족이나 지인분들 이런 식으로 연락하실 수 있는 곳은 혹시 있으세요?
,그러면 선생님 혹시 실례지만 배우자분이라든지 자녀분들은 계실까요?
,지금 혹시 혼자 거주하고 계세요?
,
,
can1,"""현재 어떤 어려움을 겪고 계신데, 이에 대해 가족이나 보호자와 함께 얘기해 보셨나요?"""
,"""이 어려운 상황에서 주변에 도움을 청할 수 있는 가족이나 친구가 있나요?"""
,"""가족이나 지인과 함께 어떻게 대처하고 계시나요?"""
,"""이 문제에 대해 가족이나 지인이 도움을 줄 수 있을 것 같은데, 그들과 소통하고 계신 건가요?"""
,"""가족이나 지인에게 이 문제를 얘기해보고 함께 해결할 수 있는 방안을 찾아보는 것은 어떨까요?"""
,"""가족 구성원들과의 관계에서 어떤 도움을 받고 계신가요?"""
,"""주변에 어떤 지원체계나 자원을 활용할 수 있는 가능성이 있나요?"""
,"""가족과의 소통이 어떠한지 알려주실 수 있을까요?"""
,"""가족 구성원들과 함께 협력하여 어떤 문제를 해결할 수 있는 방안은 없을까요?"""
,"""가족 구성원들과의 연결을 강화하고 싶은데, 어떤 방식이 좋을 것 같아요?"""
,
,
,
,
can2,"현재 병원비 지불과 관련하여 보험이 밀려 계시다고 하셨는데, 주변에 도움을 요청하실 수 있는 가족이나 친지는 계신가요?"
,혹시 주변에 도움을 요청하실 수 있는 가족이나 친구와 같은 보호자가 계신가요?
,혹시 주변에 도움을 요청하실 수 있는 분이 계신지 여쭤보고 있습니다. 혼자서 모든 것을 감당하기에는 너무 힘든 상황이실 것 같아서요.
,"혹시 이 문제를 해결하기 위해 가까운 가족이나 친구, 이웃 등 주변에 도움을 요청할 수 있는 분이 계신가요?"
,그리고 다른 부양가족이 있으신지도 함께 알려주실 수 있나요?
,"혹시 주변에 도움을 요청하실 수 있는 가족이나 친구, 보호자 분이 계시나요?"
,
,
,
인사,
reference,네 안녕하세요. 곡성읍사무소 맞춤형 복지팀 주무관 OOO입니다. 제가 전화드린 이유는 정기적으로 가정 형편이나 주거 관련해서 위기 사항이 있으신 분에 대해서 복지부에서 정보가 내려와서 정기적으로 전화를 드리고 있습니다. 
,그래서 저희가 복지부에서 주기적으로 가정 형편이 어려운 가정에 대해서 전화를 드리고 있는데 혹시 안 좋은 일이나 문제가 있으시간 모르겠네요. 
,안녕하세요. 읍사무소 맞춤형 복지팀 주무관 OOO라고 합니다. 혹시 지금 위기 상황으로 확인이 되셔서 저희가 연락을 드렸는데요. 어떤 어려운 점 있으신가요?
,안녕하세요. 저는 곡성사무소 맞춤형 복지팀 주무관 OOO입니다. 할아버지가 몸이 안 좋으신 것 같아서 전화를 드렸어요. 어디 안 좋은 데 있으세요?
,안녕하세요. 여기는 양평읍사무소 찾아오는 복지팀에 OOO인데요. 혹시 OOO 님 맞으시죠? 다름이 아니고 저희가 이번에 복지 사각지대 발굴 대상자로 통신비 체납으로 명단을 받았어요. 
,네 안녕하세요. 선생님 여기 교문1동 행정복지센터 복지팀 주무관 OOO입니다. 혹시 실례지만 OOO님 맞으실까요?
,선생님 지금 저희가 확인을 해 보니까 지금 건강보험료가 조금 많이 체납이 되어 있는 걸로 조회가 되시는데 혹시 알고 계세요?
,선생님 지금 공과금이 체납된 걸로 나오시는데 혹시 체납되시기까지의 그런 과정에 있어서 예를 들어서 실직을 하셨다든지 고용에 불안정하시다든지 그런 어려움이 있으실까요?
,
can1,"네, 안녕하세요. 어떤 도움을 드릴까요?"
,"안녕하세요, 좋은 하루 보내고 계신가요? 오늘 도와드릴 일이 있으신가요?"
,안녕하세요! 어떤 도움이 필요하신가요? 질문이나 이야기하고 싶은 주제가 있으면 말씀해주세요!
,"안녕하세요, [당신의 이름]입니다. 어떤 소식이나 업데이트가 있나요?"
,
,
,
,
can2,안녕하세요. 복지 상담센터 '아이'입니다. 건강 문제로 어려움을 겪고 계신다고 들어 전화드렸습니다. 혹시 제가 들은 정보가 맞으신가요?
,"안녕하세요,  복지 상담센터 '아이'입니다. 건강 문제로 어려움을 겪고 계신다고 들었습니다. 혹시 제가 들은 정보가 맞는지 확인해 드리기 위해 전화드렸어요. 맞으신가요?"
,"안녕하세요, 복지 상담센터 아이입니다. 건강보험료 연체 문제로 상황을 확인하기 위해 연락 드렸습니다. 혹시 건강보험료 연체에 대해 문제가 있으신가요?"
,"안녕하세요, 복지상담센터 '아이'입니다. 현재 공과급 체납과 관련하여 어려움을 겪고 계신 것으로 알고 있어 연락드렸습니다. 혹시 제가 알고 있는 정보가 사실인지 확인해주실 수 있으신가요?"
,"안녕하세요, 복지 상담센터입니다. 가정형편과 주거관련 위기 상황으로 어려움을 겪고 계신다고 들어서 확인차 연락드렸습니다. 혹시 맞으신가요?"
,"안녕하세요, 복지 상담센터 아이입니다. 귀하의 가정형편과 주거 관련 위기 상황을 확인하기 위해 연락드렸습니다. 현재 그러한 문제를 겪고 계신가요?"
